7,3,0
S1,C1,504.460478
S1,C2,763.01751
S1,C3,340.1318409
S1,C4,251.8508212
S1,C5,46.2313855
S1,C6,219.0050118
S1,C8,340.1444129
S1,C9,624.0424448
S1,C10,895.7613186
S1,C11,1133.936175
S1,C12,1228.950172
S1,C13,1107.523228
S1,C14,1270.054435
S1,C15,485.8002523
S1,C16,757.5967944
S1,C17,1378.055129
S1,C18,1521.531353
S1,C19,1780.515803
S1,C20,1269.068584
S1,C7,1171.272951
S1,C21,600.5892794
S1,C22,1452.45037
S1,C23,1077.944298
S1,C24,1699.783157
S1,C25,43.2918292
S1,C26,1479.999024
S1,C27,130.1666673
S1,C28,1482.00047
S1,C31,1141.41059
S1,C29,834.3827784
S1,C30,1421.422783
S2,C1,762.7026636
S2,C2,1037.12549
S2,C3,614.2398212
S2,C4,525.9588014
S2,C5,253.5610383
S2,C6,62.5045959
S2,C8,278.366749
S2,C9,898.150425
S2,C10,1169.869299
S2,C11,1408.044155
S2,C12,1503.058152
S2,C13,1381.631208
S2,C14,1541.980087
S2,C15,341.6615865
S2,C16,613.4581286
S2,C17,1119.535928
S2,C18,1263.012152
S2,C19,1521.996601
S2,C20,1010.549382
S2,C7,912.7537496
S2,C21,456.4506136
S2,C22,1193.931169
S2,C23,819.4250964
S2,C24,1441.263955
S2,C25,321.3252322
S2,C26,1221.479822
S2,C27,156.0898243
S2,C28,1223.481269
S2,C31,1415.51857
S2,C29,1108.490759
S2,C30,1401.974561
S3,C1,374.0369229
S3,C2,470.4185373
S3,C3,407.9675311
S3,C4,490.4125003
S3,C5,778.8211239
S3,C6,951.5947503
S3,C8,1072.734151
S3,C9,117.002581
S3,C10,165.9919088
S3,C11,404.1667646
S3,C12,499.1807621
S3,C13,377.7538176
S3,C14,540.2850254
S3,C15,1218.389991
S3,C16,1490.186533
S3,C17,1217.672005
S3,C18,1361.148229
S3,C19,1634.905792
S3,C20,1717.583527
S3,C7,1619.787894
S3,C21,1333.179018
S3,C22,1900.965314
S3,C23,1526.459241
S3,C24,1539.400033
S3,C25,779.8069905
S3,C26,869.2561172
S3,C27,862.7564058
S3,C28,1851.676698
S3,C31,411.6411803
S3,C29,127.7102974
S3,C30,691.6533727
S4,C1,611.961883
S4,C2,708.3434975
S4,C3,645.8924913
S4,C4,728.3374605
S4,C5,1016.746084
S4,C6,1189.51971
S4,C8,1310.659112
S4,C9,354.9275412
S4,C10,93.3125208
S4,C11,174.5330808
S4,C12,479.7357656
S4,C13,148.1201337
S4,C14,310.6513415
S4,C15,1456.314951
S4,C16,1728.111493
S4,C17,988.0383212
S4,C18,1131.514545
S4,C19,1405.272108
S4,C20,1487.949843
S4,C7,1390.154211
S4,C21,1571.103978
S4,C22,1671.33163
S4,C23,1296.825557
S4,C24,1309.766349
S4,C25,1017.731951
S4,C26,639.6224333
S4,C27,1100.681366
S4,C28,1622.043014
S4,C31,182.0074964
S4,C29,365.6352575
S4,C30,462.0196888
S5,C1,956.641956
S5,C2,1053.023571
S5,C3,990.5725642
S5,C4,1073.017534
S5,C5,1361.426157
S5,C6,1534.199783
S5,C8,1655.339184
S5,C9,699.6076141
S5,C10,437.9925938
S5,C11,199.9176822
S5,C12,824.4158385
S5,C13,448.6093204
S5,C14,50.061929
S5,C15,1800.995024
S5,C16,2072.791566
S5,C17,633.2065993
S5,C18,776.6828232
S5,C19,1050.440386
S5,C20,1133.118121
S5,C7,1035.322489
S5,C21,1915.784051
S5,C22,1316.499908
S5,C23,941.9938355
S5,C24,954.9346267
S5,C25,1362.412024
S5,C26,284.7907114
S5,C27,1445.361439
S5,C28,1267.211292
S5,C31,363.9748925
S5,C29,710.3153305
S5,C30,107.1879669
S6,C1,1835.787949
S6,C2,1932.169564
S6,C3,1869.718558
S6,C4,1876.805301
S6,C5,1604.407537
S6,C6,1413.351095
S6,C8,1629.213248
S6,C9,1578.753608
S6,C10,1317.138587
S6,C11,1079.063676
S6,C12,1703.561832
S6,C13,1327.755314
S6,C14,929.2079225
S6,C15,1692.508086
S6,C16,1964.304628
S6,C17,256.0888816
S6,C18,111.7945419
S6,C19,170.0727385
S6,C20,597.5428355
S6,C7,702.0522051
S6,C21,1807.297113
S6,C22,436.6899114
S6,C23,786.3148592
S6,C24,74.5669788
S6,C25,1672.171731
S6,C26,608.7076576
S6,C27,1506.936323
S6,C28,386.8436446
S6,C31,1243.120886
S6,C29,1589.461324
S6,C30,789.2023962
S7,C1,1881.738914
S7,C2,2140.295946
S7,C3,1717.410277
S7,C4,1629.129257
S7,C5,1356.731494
S7,C6,1165.675052
S7,C8,1381.537205
S7,C9,1939.975632
S7,C10,1678.360612
S7,C11,1440.2857
S7,C12,2064.783856
S7,C13,1688.977338
S7,C14,1290.429947
S7,C15,1444.832042
S7,C16,1716.628585
S7,C17,742.7707836
S7,C18,598.4764439
S7,C19,411.8284489
S7,C20,119.7137143
S7,C7,407.4225815
S7,C21,1559.621069
S7,C22,475.4113769
S7,C23,308.485738
S7,C24,425.1359485
S7,C25,1424.495688
S7,C26,969.929682
S7,C27,1259.26028
S7,C28,113.3131166
S7,C31,1604.34291
S7,C29,1950.683348
S7,C30,1150.424421
S8,C1,1774.782611
S8,C2,2033.339643
S8,C3,1610.453974
S8,C4,1522.172954
S8,C5,1249.775191
S8,C6,1058.718748
S8,C8,1274.580902
S8,C9,1833.019329
S8,C10,1571.404308
S8,C11,1333.329397
S8,C12,1957.827553
S8,C13,1582.021035
S8,C14,1183.473644
S8,C15,1337.875739
S8,C16,1609.672281
S8,C17,761.0294844
S8,C18,712.1766469
S8,C19,525.5286518
S8,C20,398.2619108
S8,C7,111.7859039
S8,C21,1452.664766
S8,C22,191.9823429
S8,C23,207.1376249
S8,C24,538.8361514
S8,C25,1317.539385
S8,C26,862.9733786
S8,C27,1152.303977
S8,C28,539.2653131
S8,C31,1497.386607
S8,C29,1843.727045
S8,C30,1043.468117
S9,C1,100.0372924
S9,C2,305.0736934
S9,C3,133.9679007
S9,C4,216.4128699
S9,C5,504.8214935
S9,C6,677.5951198
S9,C8,798.7345209
S9,C9,166.0986281
S9,C10,437.817502
S9,C11,675.9923579
S9,C12,771.0063553
S9,C13,649.5794108
S9,C14,812.1106186
S9,C15,944.3903603
S9,C16,1216.186903
S9,C17,1489.497598
S9,C18,1632.973822
S9,C19,1906.731385
S9,C20,1727.658692
S9,C7,1629.863059
S9,C21,1059.179387
S9,C22,1911.040478
S9,C23,1536.534406
S9,C24,1811.225626
S9,C25,505.80736
S9,C26,1141.08171
S9,C27,588.7567753
S9,C28,1940.590578
S9,C31,683.4667735
S9,C29,376.4389617
S9,C30,963.4789659
S10,C1,1048.361664
S10,C2,1306.918696
S10,C3,884.0330264
S10,C4,795.7520067
S10,C5,523.3542435
S10,C6,344.6595512
S10,C8,548.1599542
S10,C9,1167.94363
S10,C10,1439.662504
S10,C11,1677.83736
S10,C12,1772.851357
S10,C13,1651.424413
S10,C14,1813.955621
S10,C15,81.349124
S10,C16,215.1861798
S10,C17,1503.709669
S10,C18,1647.185893
S10,C19,1906.170342
S10,C20,1394.723123
S10,C7,1296.92749
S10,C21,196.1381511
S10,C22,1578.10491
S10,C23,1203.598837
S10,C24,1825.437696
S10,C25,591.1184374
S10,C26,1605.653563
S10,C27,425.8830295
S10,C28,1607.65501
S10,C29,1378.283964
S10,C30,1786.148302
S10,C31,1685.311776
