origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
C1,H1,5.1356106,67.4815846,17.2361439,89.8533390
C1,H2,5.1356106,85.5384210,32.4179764,123.0920079
C1,H3,5.1356106,92.2712811,15.2977012,112.7045929
C1,H4,5.1356106,59.9946154,49.9992527,115.1294787
C1,H5,5.1356106,733.3220153,33.2086706,771.6662965
C1,H6,5.1356106,653.3489524,27.5230097,686.0075727
C1,H7,5.1356106,770.1073783,23.1407599,798.3837487
C1,H8,5.1356106,745.9005592,30.5296778,781.5658476
C1,H9,5.1356106,1624.3903982,21.7951881,1651.3211968
C1,H12,5.1356106,1757.9135318,88.3117969,1851.3609392
C1,H10,5.1356106,1654.5176220,68.1306740,1727.7839066
C1,H11,5.1356106,1700.3807611,47.2239548,1752.7403265
C2,H1,80.4797665,376.7334690,17.2361439,474.4493794
C2,H2,80.4797665,394.7903054,32.4179764,507.6880483
C2,H3,80.4797665,401.5231656,15.2977012,497.3006333
C2,H4,80.4797665,369.2464999,49.9992527,499.7255191
C2,H5,80.4797665,754.3594738,33.2086706,868.0479110
C2,H6,80.4797665,674.3864109,27.5230097,782.3891871
C2,H7,80.4797665,791.1448368,23.1407599,894.7653632
C2,H8,80.4797665,766.9380177,30.5296778,877.9474621
C2,H9,80.4797665,1807.6032742,21.7951881,1909.8782288
C2,H12,80.4797665,1941.1264078,88.3117969,2109.9179712
C2,H10,80.4797665,1837.7304980,68.1306740,1986.3409386
C2,H11,80.4797665,1883.5936371,47.2239548,2011.2973585
C3,H1,5.5402518,227.0465600,17.2361439,249.8229557
C3,H2,5.5402518,245.1033964,32.4179764,283.0616246
C3,H3,5.5402518,251.8362566,15.2977012,272.6742095
C3,H4,5.5402518,219.5595909,49.9992527,275.0990953
C3,H5,5.5402518,766.8479823,33.2086706,805.5969047
C3,H6,5.5402518,686.8749194,27.5230097,719.9381809
C3,H7,5.5402518,803.6333453,23.1407599,832.3143569
C3,H8,5.5402518,779.4265262,30.5296778,815.4964558
C3,H9,5.5402518,1459.6571199,21.7951881,1486.9925597
C3,H12,5.5402518,1593.1802535,88.3117969,1687.0323021
C3,H10,5.5402518,1489.7843437,68.1306740,1563.4552695
C3,H11,5.5402518,1535.6474828,47.2239548,1588.4116894
C4,H1,2.6222265,312.4095545,17.2361439,332.2679249
C4,H2,2.6222265,330.4663909,32.4179764,365.5065938
C4,H3,2.6222265,337.1992511,15.2977012,355.1191787
C4,H4,2.6222265,304.9225853,49.9992527,357.5440646
C4,H5,2.6222265,852.2109768,33.2086706,888.0418740
C4,H6,2.6222265,772.2379139,27.5230097,802.3831501
C4,H7,2.6222265,888.9963398,23.1407599,914.7593262
C4,H8,2.6222265,864.7895207,30.5296778,897.9414251
C4,H9,2.6222265,1374.2941254,21.7951881,1398.7115400
C4,H12,2.6222265,1507.8172590,88.3117969,1598.7512824
C4,H10,2.6222265,1404.4213492,68.1306740,1475.1742498
C4,H11,2.6222265,1450.2844883,47.2239548,1500.1306697
C5,H1,0.2148115,603.2255931,17.2361439,620.6765485
