origin_id,destination_id,total_cost
H1,C1,117.8910388
H1,C2,195.4809014
H1,C3,173.2736471
H1,C4,254.7894486
H1,C5,538.2360902
H1,C6,727.5682418
H1,C8,685.7532387
H1,C9,261.6244899
H1,C10,514.620402
H1,C11,758.35649
H1,C12,888.7487323
H1,C13,1018.026551
H1,C14,1049.516521
H1,C15,1059.026615
H1,C16,1256.806091
H1,C17,1470.02394
H1,C18,1720.871947
H1,C19,2062.890889
H1,C20,1763.438772
H1,C7,1579.081889
H1,C21,1096.633908
H1,C22,1940.402044
H1,C23,1882.424025
H1,C24,1902.743259
H1,C25,605.2677206
H1,C26,1330.818303
H1,C27,607.9515715
H1,C28,1450.844704
H1,C31,781.523237
H1,C29,323.4618536
H1,C30,1145.846306
H2,C1,215.3835054
H2,C2,292.9733681
H2,C3,270.7661137
H2,C4,352.2819152
H2,C5,635.7285568
H2,C6,750.3065569
H2,C8,783.2457053
H2,C9,359.1169565
H2,C10,612.1128686
H2,C11,855.8489566
H2,C12,986.2411989
H2,C13,1115.519017
H2,C14,1147.008988
H2,C15,1100.253045
H2,C16,1298.032521
H2,C17,1567.516407
H2,C18,1818.364413
H2,C19,2065.556428
H2,C20,1694.59713
H2,C7,1510.240247
H2,C21,1137.860338
H2,C22,1871.560402
H2,C23,1979.916492
H2,C24,2000.235726
H2,C25,702.7601873
H2,C26,1428.31077
H2,C27,705.4440382
H2,C28,1382.003062
H2,C31,879.0157036
H2,C29,254.6202113
H2,C30,1243.338773
H3,C1,345.6003751
H3,C2,423.1902378
H3,C3,180.6889877
H3,C4,98.23138327
H3,C5,257.1453572
H3,C6,446.4775089
H3,C8,404.6625057
H3,C9,466.1457102
H3,C10,719.1416222
H3,C11,962.8777103
H3,C12,1093.269953
H3,C13,1222.547771
H3,C14,1254.037742
H3,C15,777.9358825
H3,C16,975.7153582
H3,C17,1482.560207
H3,C18,1733.408214
H3,C19,1857.619801
H3,C20,1486.660503
H3,C7,1302.30362
H3,C21,815.5431752
H3,C22,1663.623775
H3,C23,1894.960292
H3,C24,1915.279526
H3,C25,324.1769877
H3,C26,1535.339523
H3,C27,326.8608386
H3,C28,1174.066435
H3,C31,986.0444572
H3,C29,647.369978
H3,C30,1350.367526
H4,C1,1056.677804
H4,C2,1134.267666
H4,C3,1088.872296
H4,C4,1170.388097
H4,C5,1453.834739
H4,C6,1643.166891
H4,C8,1601.351887
H4,C9,812.8334846
H4,C10,548.7315418
H4,C11,309.6915252
H4,C12,188.250014
H4,C13,149.4935823
H4,C14,608.546498
H4,C15,1974.625264
H4,C16,2172.40474
H4,C17,1029.053917
H4,C18,1279.901923
H4,C19,1621.920865
H4,C20,1642.05227
H4,C7,1457.695386
H4,C21,2012.232557
H4,C22,1819.015542
H4,C23,1441.454002
H4,C24,1461.773236
H4,C25,1520.866369
H4,C26,889.8482796
H4,C27,1523.55022
H4,C28,1323.54248
H4,C31,467.5047102
H4,C29,1358.447407
H4,C30,704.8762826
H5,C1,1070.724203
H5,C2,1148.314065
H5,C3,1102.918695
H5,C4,1184.434496
H5,C5,1467.881138
H5,C6,1657.21329
H5,C8,1615.398286
H5,C9,826.8798835
H5,C10,562.7779408
H5,C11,323.7379242
H5,C12,202.2964129
H5,C13,202.2964129
H5,C14,622.5928969
H5,C15,1988.671663
H5,C16,2186.451139
H5,C17,1043.100316
H5,C18,1293.948322
H5,C19,1635.967264
H5,C20,1656.098669
H5,C7,1471.741785
H5,C21,2026.278956
H5,C22,1833.061941
H5,C23,1455.500401
H5,C24,1475.819635
H5,C25,1534.912768
H5,C26,903.8946785
H5,C27,1537.596619
H5,C28,1337.588879
H5,C31,481.5511092
H5,C29,1372.493805
H5,C30,718.9226815
H6,C1,733.7560593
H6,C2,811.3459219
H6,C3,765.9505515
H6,C4,847.466353
H6,C5,1130.912995
H6,C6,1320.245146
H6,C8,1278.430143
H6,C9,489.9117402
H6,C10,225.8097974
H6,C11,121.4162188
H6,C12,251.8084611
H6,C13,381.0862794
H6,C14,412.5762502
H6,C15,1651.70352
H6,C16,1849.482996
H6,C17,833.083669
H6,C18,1083.931676
H6,C19,1425.950617
H6,C20,1446.082022
H6,C7,1261.725138
H6,C21,1689.310812
H6,C22,1623.045294
H6,C23,1245.483754
H6,C24,1265.802988
H6,C25,1197.944625
H6,C26,693.8780318
H6,C27,1200.628476
H6,C28,1127.572232
H6,C31,78.66635996
H6,C29,1035.525662
H6,C30,508.9060348
H7,C1,770.112649
H7,C2,847.7025116
H7,C3,802.3071412
H7,C4,883.8229427
H7,C5,1167.269584
H7,C6,1356.601736
H7,C8,1314.786733
H7,C9,526.2683299
H7,C10,262.1663871
H7,C11,157.7728085
H7,C12,288.1650508
H7,C13,417.442869
H7,C14,448.9328399
H7,C15,1688.060109
H7,C16,1885.839585
H7,C17,869.4402587
H7,C18,1120.288265
H7,C19,1462.307207
H7,C20,1482.438612
H7,C7,1298.081728
H7,C21,1725.667402
H7,C22,1659.401884
H7,C23,1281.840344
H7,C24,1302.159578
H7,C25,1234.301215
H7,C26,730.2346215
H7,C27,1236.985066
H7,C28,1163.928822
H7,C31,44.63866056
H7,C29,1071.882252
H7,C30,545.2626245
H8,C1,799.8431674
H8,C2,877.43303
H8,C3,832.0376596
H8,C4,913.5534611
H8,C5,1197.000103
H8,C6,1386.332254
H8,C8,1344.517251
H8,C9,555.9988483
H8,C10,291.8969055
H8,C11,306.0251174
H8,C12,436.4173597
H8,C13,565.6951779
H8,C14,597.1851487
H8,C15,1717.790628
H8,C16,1915.570104
H8,C17,1017.692568
H8,C18,1268.540574
H8,C19,1610.559516
H8,C20,1630.690921
H8,C7,1446.334037
H8,C21,1755.397921
H8,C22,1807.654193
H8,C23,1430.092652
H8,C24,1450.411886
H8,C25,1264.031733
H8,C26,878.4869304
H8,C27,1266.715584
H8,C28,1312.181131
H8,C31,329.1918644
H8,C29,1101.61277
H8,C30,693.5149334
H9,C1,1230.315564
H9,C2,1307.905426
H9,C3,1262.510056
H9,C4,1344.025857
H9,C5,1627.472499
H9,C6,1634.527238
H9,C8,1774.989647
H9,C9,986.4712445
H9,C10,722.3693017
H9,C11,491.0242266
H9,C12,621.4164688
H9,C13,750.6942871
H9,C14,197.8377857
H9,C15,1984.473726
H9,C16,2182.253201
H9,C17,611.0988634
H9,C18,861.94687
H9,C19,1203.965812
H9,C20,1224.097216
H9,C7,1039.740333
H9,C21,2022.081018
H9,C22,1401.060488
H9,C23,1023.498948
H9,C24,1043.818182
H9,C25,1694.504129
H9,C26,471.8932261
H9,C27,1697.18798
H9,C28,905.5874265
H9,C31,641.1424701
H9,C29,1532.085166
H9,C30,91.68044581
H10,C1,865.6470251
H10,C2,943.2368877
H10,C3,897.8415173
H10,C4,979.3573188
H10,C5,1262.80396
H10,C6,1452.136112
H10,C8,1410.321109
H10,C9,621.802706
H10,C10,357.7007632
H10,C11,126.355688
H10,C12,256.7479303
H10,C13,386.0257485
H10,C14,282.8041669
H10,C15,1783.594486
H10,C16,1981.373961
H10,C17,703.3115857
H10,C18,954.1595923
H10,C19,1296.178534
H10,C20,1316.309939
H10,C7,1131.953055
H10,C21,1821.201778
H10,C22,1493.273211
H10,C23,1115.711671
H10,C24,1136.030905
H10,C25,1329.835591
H10,C26,564.1059485
H10,C27,1332.519442
H10,C28,997.8001489
H10,C31,276.4739316
H10,C29,1167.416628
H10,C30,379.1339515
H11,C1,955.1025891
H11,C2,1032.692452
H11,C3,987.2970814
H11,C4,1068.812883
H11,C5,1352.259524
H11,C6,1541.591676
H11,C8,1499.776673
H11,C9,711.2582701
H11,C10,447.1563273
H11,C11,215.8112521
H11,C12,346.2034944
H11,C13,475.4813126
H11,C14,207.8840714
H11,C15,1873.05005
H11,C16,2070.829525
H11,C17,628.3914903
H11,C18,879.2394969
H11,C19,1221.258439
H11,C20,1241.389843
H11,C7,1057.03296
H11,C21,1910.657342
H11,C22,1418.353115
H11,C23,1040.791575
H11,C24,1061.110809
H11,C25,1419.291155
H11,C26,489.185853
H11,C27,1421.975006
H11,C28,922.8800534
H11,C31,365.9294957
H11,C29,1256.872192
H11,C30,304.213856
H12,C1,1239.21625
H12,C2,1316.806113
H12,C3,1271.410742
H12,C4,1352.926544
H12,C5,1636.373185
H12,C6,1643.427924
H12,C8,1783.890334
H12,C9,995.3719309
H12,C10,731.2699882
H12,C11,499.924913
H12,C12,630.3171553
H12,C13,759.5949735
H12,C14,206.7384721
H12,C15,1993.374412
H12,C16,2191.153888
H12,C17,619.9995498
H12,C18,870.8475564
H12,C19,1212.866498
H12,C20,1232.997903
H12,C7,1048.641019
H12,C21,2030.981705
H12,C22,1409.961175
H12,C23,1032.399635
H12,C24,1052.718869
H12,C25,1703.404816
H12,C26,480.7939126
H12,C27,1706.088667
H12,C28,914.488113
H12,C31,650.0431566
H12,C29,1540.985853
H12,C30,100.5811323
H13,C1,1287.511291
H13,C2,1365.101154
H13,C3,1319.705784
H13,C4,1401.221585
H13,C5,1684.668227
H13,C6,1691.722966
