3,3,0
H1,C1,89.853339
H2,C1,123.0920079
H3,C1,112.7045929
H4,C1,115.1294787
H5,C1,771.6662965
H6,C1,686.0075727
H7,C1,798.3837487
H8,C1,781.5658476
H9,C1,1651.321197
H12,C1,1851.360939
H10,C1,1727.783907
H11,C1,1752.740327
H1,C2,474.4493794
H2,C2,507.6880483
H3,C2,497.3006333
H4,C2,499.7255191
H5,C2,868.047911
H6,C2,782.3891871
H7,C2,894.7653632
H8,C2,877.9474621
H9,C2,1909.878229
H12,C2,2109.917971
H10,C2,1986.340939
H11,C2,2011.297359
H1,C3,249.8229557
H2,C3,283.0616246
H3,C3,272.6742095
H4,C3,275.0990953
H5,C3,805.5969047
H6,C3,719.9381809
H7,C3,832.3143569
H8,C3,815.4964558
H9,C3,1486.99256
H12,C3,1687.032302
H10,C3,1563.45527
H11,C3,1588.411689
H1,C4,332.2679249
H2,C4,365.5065938
H3,C4,355.1191787
H4,C4,357.5440646
H5,C4,888.041874
H6,C4,802.3831501
H7,C4,914.7593262
H8,C4,897.9414251
H9,C4,1398.71154
H12,C4,1598.751282
H10,C4,1475.17425
H11,C4,1500.13067
H1,C5,620.6765485
H2,C5,653.9152174
H3,C5,643.5278023
H4,C5,645.9526882
H5,C5,1176.450498
H6,C5,1090.791774
H7,C5,1203.16795
H8,C5,1186.350049
H9,C5,1126.313777
H12,C5,1326.353519
H10,C5,1202.776487
H11,C5,1227.732907
H1,C6,793.4501748
H2,C6,826.6888437
H3,C6,816.3014287
H4,C6,818.7263145
H5,C6,1349.224124
H6,C6,1263.5654
H7,C6,1375.941576
H8,C6,1359.123675
H9,C6,935.2573345
H12,C6,1135.297077
H10,C6,1011.720044
H11,C6,1036.676464
H1,C8,914.5895759
H2,C8,947.8282448
H3,C8,937.4408297
H4,C8,939.8657156
H5,C8,1470.363525
H6,C8,1384.704801
H7,C8,1497.080977
H8,C8,1480.263076
H9,C8,1151.119488
H12,C8,1351.15923
H10,C8,1227.582197
H11,C8,1252.538617
H1,C9,335.4743142
H2,C9,368.7129831
H3,C9,358.325568
H4,C9,360.7504539
H5,C9,514.6319546
H6,C9,428.9732308
H7,C9,541.3494069
H8,C9,524.5315057
H9,C9,1709.557915
H12,C9,1909.597657
H10,C9,1786.020625
H11,C9,1810.977044
H1,C10,607.193188
H2,C10,640.4318569
H3,C10,630.0444419
H4,C10,632.4693277
H5,C10,253.0169342
H6,C10,167.3582104
H7,C10,279.7343865
H8,C10,262.9164854
H9,C10,1447.942894
H12,C10,1647.982637
H10,C10,1524.405604
H11,C10,1549.362024
H1,C11,845.3680439
H2,C11,878.6067128
H3,C11,868.2192977
H4,C11,870.6441836
H5,C11,290.0466079
H6,C11,204.3878841
H7,C11,316.7640601
H8,C11,299.946159
H9,C11,1209.867983
H12,C11,1409.907725
H10,C11,1286.330693
H11,C11,1311.287112
H1,C12,940.3820414
H2,C12,973.6207103
H3,C12,963.2332952
H4,C12,965.6581811
H5,C12,639.440179
H6,C12,553.7814552
H7,C12,666.1576312
H8,C12,649.3397301
H9,C12,1834.366139
H12,C12,2034.405881
